epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2947,1.6945,4.21666,0.07122,0.07376,0.40247,0.4865,0.33693,0.2614,0.88223,2.13616,0.10753,0.0136,0.000408497,0.000408497,0.000408497
2,58.9377,1.06902,2.67679,0.07426,0.02929,0.40805,0.81766,0.51126,0.44356,0.63491,1.56057,0.11034,0.00681,0.000816994,0.000816994,0.000816994
3,78.9261,0.9714,2.05289,0.07875,0.02546,0.56895,0.71681,0.63736,0.56111,0.62322,1.11107,0.1106,0.00752,0.00121724,0.00121724,0.00121724
4,100.296,0.8966,1.68111,0.07586,0.02041,0.74584,0.79892,0.84008,0.74528,0.55216,0.79784,0.10943,0.00616,0.00121287,0.00121287,0.00121287
5,120.293,0.86141,1.36548,0.07631,0.01969,0.78916,0.84097,0.90625,0.80397,0.53934,0.55865,0.1107,0.00582,0.0012005,0.0012005,0.0012005
6,141.684,0.83823,1.19693,0.0752,0.02,0.7892,0.80348,0.87539,0.7945,0.47331,0.5911,0.10928,0.00789,0.00118812,0.00118812,0.00118812
7,163.144,0.78619,1.03995,0.07238,0.01818,0.85456,0.86423,0.91975,0.83523,0.53838,0.46717,0.11023,0.00516,0.00117575,0.00117575,0.00117575
8,184.728,0.79959,0.96125,0.07645,0.01699,0.82366,0.86273,0.8991,0.79767,0.55978,0.53282,0.10927,0.00524,0.00116337,0.00116337,0.00116337
9,205.13,0.7953,0.88747,0.07522,0.01676,0.84618,0.85073,0.89575,0.81554,0.48686,0.47672,0.1107,0.00439,0.001151,0.001151,0.001151
10,226.553,0.76313,0.84455,0.07757,0.01643,0.8746,0.87169,0.92736,0.86366,0.43833,0.43337,0.10917,0.00428,0.00113863,0.00113863,0.00113863
11,247.195,0.74731,0.78833,0.07553,0.01438,0.86335,0.90106,0.93106,0.86415,0.4408,0.43116,0.1102,0.00388,0.00112625,0.00112625,0.00112625
12,268.029,0.73398,0.72775,0.07317,0.013,0.90948,0.91941,0.94402,0.87388,0.45098,0.38286,0.11084,0.00424,0.00111388,0.00111388,0.00111388
13,289.232,0.7196,0.7149,0.07486,0.01455,0.92205,0.86631,0.93484,0.87641,0.42273,0.40868,0.11068,0.00589,0.0011015,0.0011015,0.0011015
14,309.223,0.70367,0.67484,0.07486,0.01212,0.91643,0.88006,0.94003,0.86958,0.4429,0.38673,0.11082,0.00466,0.00108913,0.00108913,0.00108913
15,330.615,0.70334,0.64296,0.07329,0.01248,0.94263,0.89922,0.94683,0.89393,0.41561,0.36581,0.11154,0.00503,0.00107675,0.00107675,0.00107675
16,350.715,0.69217,0.64195,0.07568,0.01164,0.97698,0.89225,0.95019,0.8868,0.40357,0.34377,0.11161,0.0053,0.00106437,0.00106437,0.00106437
17,372.154,0.71459,0.63552,0.07716,0.01233,0.93991,0.86665,0.91841,0.86031,0.38748,0.40728,0.11104,0.00339,0.001052,0.001052,0.001052
18,392.522,0.70094,0.62112,0.0737,0.01186,0.92435,0.89527,0.9403,0.88023,0.41225,0.38729,0.11272,0.00428,0.00103962,0.00103962,0.00103962
19,413.77,0.68341,0.57697,0.07352,0.01168,0.95504,0.88936,0.94635,0.88016,0.40859,0.34322,0.11178,0.0043,0.00102725,0.00102725,0.00102725
20,434.169,0.68043,0.58564,0.07885,0.0109,0.95342,0.89691,0.94748,0.88135,0.39538,0.34701,0.11215,0.00255,0.00101488,0.00101488,0.00101488
21,455.106,0.67857,0.56708,0.07667,0.01228,0.94108,0.922,0.94677,0.88189,0.38681,0.3351,0.10973,0.00288,0.0010025,0.0010025,0.0010025
22,474.934,0.6381,0.51829,0.07457,0.00994,0.89816,0.90472,0.93911,0.88568,0.40102,0.37381,0.10995,0.00345,0.000990125,0.000990125,0.000990125
23,495.488,0.6381,0.52567,0.07561,0.01057,0.96681,0.91956,0.95502,0.88605,0.41262,0.31336,0.11001,0.0042,0.00097775,0.00097775,0.00097775
24,515.812,0.65216,0.53747,0.07192,0.01165,0.82352,0.88123,0.92196,0.85364,0.43338,0.41323,0.11127,0.00395,0.000965375,0.000965375,0.000965375
25,536.554,0.64632,0.53162,0.07477,0.01026,0.91983,0.87452,0.93504,0.87069,0.43188,0.38384,0.11206,0.00342,0.000953,0.000953,0.000953
26,557.388,0.64817,0.5197,0.07706,0.01087,0.91564,0.89932,0.94475,0.88263,0.41001,0.38061,0.11201,0.00364,0.000940625,0.000940625,0.000940625
27,577.296,0.62714,0.49072,0.07291,0.00986,0.91886,0.91695,0.94458,0.88698,0.3911,0.32279,0.11013,0.00445,0.00092825,0.00092825,0.00092825
28,598.234,0.61958,0.47696,0.07438,0.01025,0.9643,0.88552,0.94638,0.8766,0.4119,0.34646,0.11108,0.00374,0.000915875,0.000915875,0.000915875
29,618.283,0.61468,0.47135,0.07216,0.01025,0.94741,0.90613,0.94882,0.89597,0.40399,0.33861,0.11244,0.00429,0.0009035,0.0009035,0.0009035
30,639.443,0.61797,0.47322,0.07637,0.0091,0.95173,0.89787,0.94195,0.87122,0.4067,0.33242,0.11107,0.0039,0.000891125,0.000891125,0.000891125
31,659.478,0.60453,0.46099,0.0739,0.00894,0.94735,0.86995,0.94099,0.87557,0.39328,0.34242,0.11104,0.00334,0.00087875,0.00087875,0.00087875
32,680.463,0.62508,0.44027,0.07533,0.00975,0.95579,0.9173,0.94006,0.88436,0.41493,0.33322,0.11275,0.00462,0.000866375,0.000866375,0.000866375
33,700.017,0.61392,0.44809,0.07768,0.00825,0.97309,0.8774,0.93674,0.89748,0.37369,0.32931,0.11179,0.00354,0.000854,0.000854,0.000854
34,721.546,0.60421,0.43242,0.07275,0.00818,0.94058,0.91325,0.94637,0.89595,0.38047,0.35182,0.11139,0.0049,0.000841625,0.000841625,0.000841625
35,741.616,0.59196,0.4259,0.07408,0.00871,0.96564,0.89885,0.94903,0.88455,0.43257,0.34125,0.1117,0.005,0.00082925,0.00082925,0.00082925
36,763.203,0.61043,0.43811,0.07342,0.00935,0.96412,0.89599,0.94156,0.88705,0.35348,0.34505,0.11161,0.00283,0.000816875,0.000816875,0.000816875
37,783.558,0.61175,0.42431,0.07189,0.00826,0.93113,0.88028,0.94112,0.87326,0.42054,0.36164,0.11104,0.00389,0.0008045,0.0008045,0.0008045
38,804.383,0.60583,0.41304,0.07765,0.00846,0.96248,0.91878,0.95656,0.88924,0.38721,0.31379,0.10959,0.00421,0.000792125,0.000792125,0.000792125
39,825.493,0.59636,0.40977,0.0743,0.00789,0.9718,0.89539,0.9542,0.89858,0.3972,0.30341,0.11209,0.00512,0.00077975,0.00077975,0.00077975
40,845.819,0.59492,0.4,0.07507,0.00841,0.94917,0.93872,0.95126,0.9056,0.37863,0.30018,0.11128,0.00543,0.000767375,0.000767375,0.000767375
41,867.538,0.58095,0.39131,0.07406,0.00923,0.9675,0.92279,0.94542,0.90134,0.35116,0.28496,0.11063,0.00412,0.000755,0.000755,0.000755
42,887.304,0.57874,0.39531,0.07549,0.00812,0.97592,0.8994,0.94222,0.87442,0.39141,0.33609,0.11164,0.00406,0.000742625,0.000742625,0.000742625
43,908.861,0.56278,0.38093,0.07569,0.0076,0.94985,0.9213,0.94872,0.89263,0.36784,0.3372,0.11144,0.00346,0.00073025,0.00073025,0.00073025
44,928.817,0.56923,0.37678,0.07361,0.00941,0.97658,0.92318,0.95165,0.8815,0.38738,0.32349,0.11082,0.00384,0.000717875,0.000717875,0.000717875
45,950.322,0.55086,0.36688,0.0751,0.00756,0.97416,0.92279,0.95148,0.89274,0.37616,0.29009,0.11242,0.0036,0.0007055,0.0007055,0.0007055
46,970.269,0.56293,0.36353,0.07573,0.00764,0.97343,0.91604,0.95777,0.90341,0.36041,0.27713,0.11213,0.00357,0.000693125,0.000693125,0.000693125
